Date,Time,Species,Sex,Length ,Location,Tag
6/1/2018,AM,BR,M,290,RWC,
6/1/2018,AM,BR,M,480,RWC,
6/1/2018,AM,BR,M,320,RWC,
6/1/2018,AM,BR,M,400,RWC,
6/4/2018,AM,BSH,M,640,RWC,
6/4/2018,AM,BR,M,,RWC,
6/4/2018,AM,LS,F,680,RWC,
6/4/2018,AM,LS,F,860,RWC,
6/18/2018,PM,LS,M,650,RWC,2584
6/18/2018,PM,BR,M,690,RWC,
6/25/2018,AM,BR,M,440,RWC,
6/25/2018,AM,BR,M,410,RWC,
6/25/2018,AM,BR,F,360,RWC,
6/25/2018,AM,BR,M,310,RWC,
6/25/2018,PM,BR,M,350,RWC,
6/25/2018,PM,LS,F,830,RWC,
6/26/2018,AM,LS,M,235,RWC,
6/26/2018,AM,LS,M,650,RWC,
6/26/2018,AM,BR,F,300,RWC,
6/26/2018,AM,BR,F,525,RWC,
6/26/2018,AM,BR,M,620,RWC,
7/3/2018,PM,BR,F,360,RWC,
7/3/2018,PM,BR,F,330,RWC,
7/3/2018,PM,BR,M,450,RWC,
7/9/2018,AM,LS,M,560,RWC,2586
7/9/2018,PM,LS,M,880,RWC,2587
7/11/2018,AM,LS,M,950,RWC,2588
7/11/2018,AM,LS,M,290,RWC,
7/11/2018,AM,BR,F,640,RWC,
7/11/2018,AM,BR,M,640,RWC,
7/11/2018,AM,BR,M,430,RWC,
7/11/2018,PM,BR,F,360,RWC,
7/11/2018,PM,BR,F,500,RWC,
7/11/2018,PM,BR,F,350,RWC,
7/11/2018,PM,BR,F,320,RWC,
7/11/2018,PM,BR,F,365,RWC,
7/11/2018,PM,LS,F,320,RWC,
7/11/2018,PM,LS,F,260,RWC,
7/11/2018,PM,LS,M,290,RWC,
7/11/2018,PM,LS,M,285,RWC,
7/11/2018,PM,LS,M,310,RWC,
7/11/2018,PM,LS,F,295,RWC,
7/11/2018,PM,LS,M,265,RWC,
7/11/2018,PM,LS,F,280,RWC,
7/11/2018,PM,LS,F,240,RWC,
7/11/2018,PM,LS,F,300,RWC,
7/11/2018,PM,LS,F,350,RWC,
7/11/2018,PM,LS,F,290,RWC,
7/17/2018,AM,LS,F,285,RWC,
7/17/2018,AM,LS,F,280,RWC,
7/17/2018,AM,BR,M,375,RWC,
7/17/2018,AM,BR,F,335,RWC,
7/17/2018,AM,BR,F,380,RWC,
7/17/2018,AM,BR,F,390,RWC,
7/17/2018,AM,BR,F,360,RWC,
7/17/2018,AM,BR,F,275,RWC,
7/17/2018,AM,BR,M,470,RWC,
7/27/2018,PM,BR,M,470,RWC,
7/27/2018,PM,BR,F,430,RWC,
7/27/2018,PM,BR,M,360,RWC,
7/31/2018,PM,LS,F,360,RWC,2589
8/1/2018,AM,BR,F,360,RWC,
8/1/2018,AM,BR,F,360,RWC,
8/1/2018,AM,BR,F,360,RWC,
8/1/2018,AM,BR,F,360,RWC,
8/1/2018,PM,LS,F,520,RWC,
8/1/2018,PM,LS,F,460,RWC,
8/1/2018,PM,LS,M,400,RWC,
8/1/2018,PM,LS,F,460,RWC,
8/1/2018,PM,LS,F,320,RWC,
8/1/2018,PM,LS,F,380,RWC,
8/1/2018,PM,LS,F,500,RWC,
8/1/2018,PM,LS,M,600,RWC,
8/1/2018,PM,LS,M,550,RWC,2589
9/22/2018,PM,BR,F,420,RWC,
10/18/2018,AM,BR,F,560,RICH,
10/18/2018,AM,BR,F,510,RICH,
10/18/2018,AM,BR,M,550,RICH,
10/18/2018,AM,BR,M,200,RICH,
10/18/2018,AM,BR,M,510,RICH,
10/18/2018,PM,BR,M,350,RICH,
10/18/2018,PM,BR,F,300,RICH,
10/18/2018,PM,BR,M,500,RICH,
10/18/2018,PM,BR,M,480,RICH,
10/18/2018,PM,BR,F,440,RICH,
10/20/2018,PM,BR,M,480,RICH,
10/20/2018,PM,BR,M,520,RICH,
10/20/2018,PM,BR,F,500,RICH,
